                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0603,                 2.5995,                 1.1249,                0.38084,                0.15295,                0.12619,                0.06679,                 1.7026,                 1.6257,                0.98452,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.8635,                 1.7174,                 1.0521,                0.22987,                 0.2045,                0.16652,                0.09209,                 1.6104,                 1.3659,                0.96568,             0.00045972,             0.00045972,             0.00045972
                      3,                 1.8166,                 1.6078,                 1.0396,                0.27223,                0.21708,                0.18954,                0.10422,                 1.5929,                 1.3075,                0.96989,             0.00066633,             0.00066633,             0.00066633
                      4,                 1.7743,                 1.5358,                 1.0288,                 0.2668,                0.23616,                0.20308,                0.11089,                 1.5594,                 1.3205,                0.96021,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.7687,                 1.4986,                 1.0237,                0.30756,                0.24033,                0.21919,                0.12162,                 1.5509,                 1.2461,                0.95342,             0.00064331,             0.00064331,             0.00064331
                      6,                 1.7352,                 1.4631,                  1.015,                0.31462,                0.24638,                0.22319,                0.12309,                 1.5475,                   1.22,                0.95114,             0.00061975,             0.00061975,             0.00061975
                      7,                 1.7334,                 1.4467,                 1.0151,                0.32188,                0.24941,                0.22957,                0.12759,                 1.5298,                 1.2259,                0.94815,             0.00059619,             0.00059619,             0.00059619
                      8,                 1.7119,                 1.4182,                 1.0113,                 0.3297,                   0.26,                0.23691,                 0.1322,                 1.4976,                 1.1727,                0.94463,             0.00057263,             0.00057263,             0.00057263
                      9,                 1.7022,                 1.4082,                 1.0059,                0.32269,                0.25942,                0.23997,                0.13491,                 1.5068,                 1.1776,                0.94217,             0.00054907,             0.00054907,             0.00054907
                     10,                 1.6851,                 1.3827,                 1.0031,                0.32648,                 0.2624,                0.24767,                0.14046,                 1.4763,                  1.156,                0.93768,              0.0005255,              0.0005255,              0.0005255
                     11,                 1.6825,                 1.3755,                 1.0007,                0.35341,                0.27147,                0.25169,                0.14266,                 1.4705,                  1.142,                0.93251,             0.00050194,             0.00050194,             0.00050194
                     12,                 1.6779,                 1.3675,                0.99942,                0.35728,                0.26646,                0.25238,                0.14387,                 1.4853,                 1.1407,                0.93524,             0.00047838,             0.00047838,             0.00047838
                     13,                 1.6672,                 1.3515,                0.99627,                  0.345,                0.28034,                0.25713,                0.14699,                 1.4482,                 1.1373,                0.93414,             0.00045482,             0.00045482,             0.00045482
                     14,                  1.656,                 1.3358,                0.99353,                0.35559,                0.28529,                 0.2638,                0.15022,                 1.4513,                 1.1139,                0.93202,             0.00043126,             0.00043126,             0.00043126
                     15,                 1.6517,                 1.3303,                0.99099,                0.35477,                 0.2881,                0.26911,                0.15373,                 1.4492,                 1.1002,                 0.9298,             0.00040769,             0.00040769,             0.00040769
                     16,                 1.6416,                 1.3195,                0.98905,                0.36547,                0.28498,                0.26893,                0.15191,                 1.4454,                 1.1062,                0.93338,             0.00038413,             0.00038413,             0.00038413
                     17,                 1.6446,                 1.3194,                0.98841,                0.35859,                0.28754,                0.26662,                0.15126,                  1.449,                 1.1107,                0.93068,             0.00036057,             0.00036057,             0.00036057
                     18,                 1.6407,                 1.3064,                0.98689,                0.37131,                0.28883,                0.27726,                0.15881,                 1.4297,                 1.0783,                0.92717,             0.00033701,             0.00033701,             0.00033701
                     19,                 1.6264,                 1.2942,                0.98275,                0.36877,                0.29219,                0.27451,                0.15601,                 1.4201,                  1.101,                0.92466,             0.00031345,             0.00031345,             0.00031345
                     20,                 1.6251,                 1.2887,                0.98475,                0.38104,                0.29739,                0.28151,                0.15912,                  1.426,                 1.0832,                0.92562,             0.00028988,             0.00028988,             0.00028988
                     21,                 1.4392,                 1.1122,                0.93638,                0.38194,                0.29117,                 0.2781,                0.15784,                 1.4265,                 1.0886,                0.92651,             0.00026632,             0.00026632,             0.00026632
                     22,                 1.4182,                 1.0712,                0.93173,                0.37671,                0.29556,                0.28041,                0.16117,                 1.4217,                 1.0714,                0.92337,             0.00024276,             0.00024276,             0.00024276
                     23,                 1.4059,                 1.0519,                0.93044,                0.37695,                0.30332,                0.28887,                0.16392,                 1.4161,                  1.066,                0.92247,              0.0002192,              0.0002192,              0.0002192
                     24,                  1.403,                 1.0416,                0.92656,                  0.393,                0.29826,                0.29073,                0.16726,                 1.4082,                 1.0535,                0.92108,             0.00019564,             0.00019564,             0.00019564
                     25,                 1.3965,                 1.0328,                0.92713,                0.39702,                0.30089,                0.29206,                0.16769,                  1.401,                 1.0515,                  0.919,             0.00017207,             0.00017207,             0.00017207
                     26,                 1.3902,                 1.0266,                0.92436,                 0.4001,                0.30364,                0.29565,                0.16822,                  1.408,                 1.0494,                0.92093,             0.00014851,             0.00014851,             0.00014851
                     27,                 1.3836,                 1.0169,                0.92249,                0.39557,                0.31292,                0.29972,                0.17175,                 1.3939,                 1.0398,                0.91737,             0.00012495,             0.00012495,             0.00012495
                     28,                 1.3755,                 1.0082,                0.91974,                0.39844,                0.31023,                0.30085,                0.17255,                 1.3916,                 1.0367,                0.91663,             0.00010139,             0.00010139,             0.00010139
                     29,                  1.367,                0.99435,                0.91952,                0.39573,                0.31459,                0.30066,                0.17331,                 1.3939,                 1.0323,                 0.9165,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                 1.3645,                0.99326,                0.91813,                0.39978,                0.30982,                0.30229,                0.17461,                 1.3869,                 1.0302,                0.91615,             5.4264e-05,             5.4264e-05,             5.4264e-05
