                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8231,                 2.3842,                  1.039,                0.29417,                0.16835,                0.12565,                 0.0669,                 1.7056,                 1.5326,                0.98726,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.6876,                 1.5642,                 0.9959,                0.26751,                0.19595,                0.16398,                0.09005,                 1.6707,                 1.4019,                0.97029,             0.00045972,             0.00045972,             0.00045972
                      3,                   1.64,                 1.4484,                 0.9884,                0.25915,                0.22429,                0.19533,                 0.1082,                 1.5815,                 1.3092,                0.96005,             0.00066633,             0.00066633,             0.00066633
                      4,                 1.6137,                 1.3714,                 0.9774,                0.27482,                0.23961,                0.20179,                 0.1098,                  1.556,                 1.3175,                0.95766,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.5909,                 1.3257,                0.97527,                0.29771,                 0.2392,                0.21186,                0.11699,                 1.5753,                 1.2543,                0.95348,             0.00064331,             0.00064331,             0.00064331
                      6,                 1.5666,                 1.2799,                0.96802,                0.30823,                0.24101,                0.22438,                0.12495,                 1.5353,                 1.2267,                0.95467,             0.00061975,             0.00061975,             0.00061975
                      7,                  1.544,                 1.2473,                 0.9627,                0.33017,                0.25373,                0.23384,                0.13136,                 1.5229,                 1.1951,                0.94672,             0.00059619,             0.00059619,             0.00059619
                      8,                 1.5353,                 1.2239,                0.95938,                0.34116,                0.26016,                 0.2418,                0.13544,                 1.5311,                 1.1927,                0.94368,             0.00057263,             0.00057263,             0.00057263
                      9,                 1.5223,                 1.1977,                 0.9559,                0.34232,                0.26851,                0.25172,                0.14069,                 1.4912,                 1.1559,                0.93827,             0.00054907,             0.00054907,             0.00054907
                     10,                 1.5048,                 1.1825,                0.95469,                0.33067,                 0.2766,                0.25404,                0.14272,                 1.4774,                 1.1598,                 0.9385,              0.0005255,              0.0005255,              0.0005255
                     11,                 1.4983,                 1.1643,                0.95125,                0.33812,                0.27408,                0.25922,                0.14547,                 1.4768,                 1.1495,                 0.9366,             0.00050194,             0.00050194,             0.00050194
                     12,                 1.4901,                 1.1531,                0.94992,                0.37353,                0.28669,                0.26934,                0.15107,                 1.4625,                 1.1238,                0.93465,             0.00047838,             0.00047838,             0.00047838
                     13,                  1.481,                 1.1391,                0.94576,                0.37511,                0.28788,                0.26947,                0.15171,                 1.4525,                 1.1242,                0.93243,             0.00045482,             0.00045482,             0.00045482
                     14,                 1.4701,                 1.1242,                0.94366,                0.36223,                0.28111,                 0.2652,                0.15031,                 1.4577,                 1.1118,                0.93316,             0.00043126,             0.00043126,             0.00043126
                     15,                 1.4708,                 1.1192,                0.94364,                0.36851,                0.28437,                0.27341,                0.15545,                 1.4437,                 1.0942,                0.93155,             0.00040769,             0.00040769,             0.00040769
                     16,                 1.4616,                 1.1122,                0.93962,                0.37608,                0.28889,                0.27979,                0.15756,                 1.4376,                 1.0948,                0.93117,             0.00038413,             0.00038413,             0.00038413
                     17,                 1.4495,                 1.1003,                 0.9389,                 0.3777,                0.29528,                0.28064,                0.15905,                 1.4307,                 1.0873,                0.92752,             0.00036057,             0.00036057,             0.00036057
                     18,                 1.4538,                 1.0881,                0.93678,                0.39057,                0.29235,                0.28409,                0.16201,                 1.4211,                 1.0786,                0.92521,             0.00033701,             0.00033701,             0.00033701
                     19,                 1.4518,                 1.0876,                0.93483,                0.39013,                0.29439,                0.28498,                0.16174,                 1.4301,                 1.0823,                0.92595,             0.00031345,             0.00031345,             0.00031345
                     20,                 1.4357,                 1.0705,                0.93337,                0.38112,                0.29764,                0.28896,                 0.1636,                 1.4187,                 1.0757,                0.92349,             0.00028988,             0.00028988,             0.00028988
                     21,                   1.41,                 1.0403,                0.93044,                0.38912,                0.30127,                0.28529,                0.16207,                 1.4138,                 1.0726,                0.92394,             0.00026632,             0.00026632,             0.00026632
                     22,                 1.4042,                  1.036,                0.92993,                0.38041,                0.29656,                0.28585,                  0.163,                 1.4134,                 1.0718,                 0.9218,             0.00024276,             0.00024276,             0.00024276
                     23,                  1.392,                 1.0211,                0.92795,                0.38585,                0.29436,                0.28553,                0.16243,                 1.4229,                 1.0667,                0.92425,              0.0002192,              0.0002192,              0.0002192
                     24,                  1.392,                 1.0165,                0.92486,                0.39922,                 0.2966,                0.29347,                0.16802,                 1.4068,                 1.0479,                0.92358,             0.00019564,             0.00019564,             0.00019564
                     25,                 1.3859,                 1.0088,                 0.9254,                0.40464,                0.29687,                0.29489,                0.16818,                 1.4057,                  1.046,                0.91878,             0.00017207,             0.00017207,             0.00017207
                     26,                 1.3806,                 1.0022,                0.92294,                0.40367,                0.30088,                0.29633,                0.16831,                 1.4058,                 1.0463,                 0.9216,             0.00014851,             0.00014851,             0.00014851
                     27,                 1.3741,                0.99529,                0.92114,                0.41445,                0.30395,                0.30156,                0.17151,                 1.3949,                  1.039,                0.91908,             0.00012495,             0.00012495,             0.00012495
                     28,                 1.3677,                0.98696,                0.91858,                0.41224,                0.30608,                0.30172,                  0.172,                 1.3932,                 1.0372,                0.91769,             0.00010139,             0.00010139,             0.00010139
                     29,                 1.3584,                0.97612,                0.91811,                  0.407,                 0.3083,                0.30128,                0.17284,                 1.3964,                 1.0303,                0.91717,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                 1.3572,                0.97325,                0.91698,                0.41533,                0.30031,                0.30112,                0.17246,                 1.3924,                 1.0286,                0.91704,             5.4264e-05,             5.4264e-05,             5.4264e-05
