                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7632,                 2.3777,                 1.0582,                0.15425,                0.17086,                0.11507,                 0.0597,                 1.7019,                 1.6086,                 1.0254,               0.070074,              0.0033251,              0.0033251
                      2,                 1.7006,                 1.6618,                 1.0203,                0.19905,                0.18528,                0.13757,                 0.0734,                  1.706,                 1.5012,                0.99458,               0.039415,              0.0059993,              0.0059993
                      3,                 1.6982,                 1.5582,                 1.0136,                  0.204,                0.19553,                0.15273,                0.08353,                  1.706,                 1.5076,                0.99651,              0.0080957,              0.0080134,              0.0080134
                      4,                 1.6705,                 1.4882,                 1.0053,                0.28041,                0.21669,                0.18685,                0.10298,                 1.6211,                 1.3825,                0.97819,                0.00703,                0.00703,                0.00703
                      5,                 1.6292,                 1.4139,                0.99442,                0.29197,                0.23188,                0.20305,                0.11179,                 1.6045,                 1.3164,                0.96829,                0.00703,                0.00703,                0.00703
                      6,                 1.5833,                 1.3404,                0.98085,                0.29334,                0.24514,                0.21746,                0.11987,                 1.5637,                 1.2577,                0.96044,                0.00604,                0.00604,                0.00604
                      7,                 1.5529,                 1.2937,                0.97263,                0.33139,                0.25003,                0.22551,                0.12605,                 1.5365,                 1.2323,                0.95626,                0.00505,                0.00505,                0.00505
                      8,                 1.5205,                 1.2453,                0.96293,                0.32679,                0.24943,                0.23058,                0.12964,                 1.5297,                 1.2122,                0.95083,                0.00406,                0.00406,                0.00406
                      9,                 1.4899,                 1.2004,                0.95482,                0.35221,                0.26431,                0.25007,                0.14267,                 1.4814,                  1.164,                0.94219,                0.00307,                0.00307,                0.00307
                     10,                 1.4685,                 1.1723,                0.94871,                0.34266,                0.26171,                0.24858,                0.14173,                 1.4738,                 1.1504,                0.93657,                0.00208,                0.00208,                0.00208
