                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.846,                 2.3881,                 1.0383,                0.29131,                0.16615,                0.12799,                0.06784,                 1.7127,                 1.5475,                 1.0043,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.6802,                 1.5249,                0.99104,                0.22544,                0.20159,                0.15146,                0.08473,                 1.6697,                 1.3822,                0.96988,             0.00047412,             0.00047412,             0.00047412
                      3,                 1.6519,                 1.4223,                0.98328,                0.30273,                0.23196,                0.20757,                0.11431,                 1.5969,                 1.3131,                0.97136,              0.0007057,              0.0007057,              0.0007057
                      4,                 1.6189,                 1.3632,                0.97689,                0.29926,                0.24187,                0.21768,                0.12039,                 1.5733,                 1.2524,                 0.9571,              0.0006967,              0.0006967,              0.0006967
                      5,                 1.5948,                 1.3075,                0.97038,                0.36545,                0.23848,                0.22991,                0.12746,                 1.5253,                 1.2295,                0.94966,              0.0006967,              0.0006967,              0.0006967
                      6,                 1.5834,                 1.2792,                0.96517,                0.30061,                0.25476,                0.21949,                0.12282,                 1.5601,                 1.2074,                0.94742,             0.00068344,             0.00068344,             0.00068344
                      7,                 1.5591,                 1.2469,                0.96131,                0.31171,                0.26979,                0.23098,                0.12682,                 1.5147,                 1.2283,                0.95167,             0.00066665,             0.00066665,             0.00066665
                      8,                 1.5479,                 1.2267,                0.95722,                0.33972,                0.26946,                 0.2473,                0.13928,                 1.4905,                 1.1833,                0.94341,              0.0006465,              0.0006465,              0.0006465
                      9,                 1.5321,                 1.2033,                0.95346,                 0.3432,                0.27745,                 0.2494,                0.13769,                 1.4787,                 1.1632,                0.94038,             0.00062322,             0.00062322,             0.00062322
                     10,                 1.5184,                 1.1835,                0.95035,                0.33349,                  0.285,                0.25186,                 0.1398,                 1.4678,                 1.1514,                0.94164,             0.00059706,             0.00059706,             0.00059706
                     11,                  1.514,                 1.1794,                0.95041,                0.35715,                0.27778,                 0.2652,                0.14851,                 1.4691,                 1.1318,                0.93999,             0.00056831,             0.00056831,             0.00056831
                     12,                 1.4895,                 1.1518,                 0.9469,                 0.3591,                0.28032,                0.26177,                0.14637,                 1.4692,                  1.133,                0.93355,             0.00053729,             0.00053729,             0.00053729
                     13,                 1.4935,                 1.1457,                0.94374,                0.35999,                0.28646,                0.27286,                0.15575,                 1.4421,                 1.1078,                0.93047,             0.00050432,             0.00050432,             0.00050432
                     14,                  1.488,                 1.1323,                0.94185,                0.37189,                0.27637,                0.26883,                0.15192,                 1.4624,                  1.113,                0.93107,             0.00046979,             0.00046979,             0.00046979
                     15,                 1.4733,                 1.1195,                0.93967,                0.37471,                0.29512,                0.28084,                0.15943,                  1.434,                 1.0848,                0.92473,             0.00043405,             0.00043405,             0.00043405
                     16,                 1.4634,                 1.1085,                0.93798,                0.38131,                0.29031,                0.27956,                0.16131,                 1.4236,                 1.0825,                0.92556,             0.00039751,             0.00039751,             0.00039751
                     17,                 1.4603,                    1.1,                0.93617,                0.38273,                0.29016,                0.27946,                0.15853,                 1.4304,                  1.079,                0.92591,             0.00036057,             0.00036057,             0.00036057
                     18,                 1.4567,                 1.0878,                0.93281,                0.38571,                0.29713,                0.28893,                0.16392,                 1.4282,                 1.0709,                0.92693,             0.00032363,             0.00032363,             0.00032363
                     19,                 1.4445,                 1.0748,                0.93121,                0.39446,                 0.2953,                0.28999,                0.16558,                 1.4266,                 1.0628,                0.92456,             0.00028709,             0.00028709,             0.00028709
                     20,                 1.4319,                 1.0608,                0.93072,                0.39755,                0.30165,                0.29284,                0.16703,                 1.4175,                  1.053,                 0.9245,             0.00025135,             0.00025135,             0.00025135
                     21,                 1.4099,                 1.0395,                 0.9301,                0.38888,                0.29938,                0.28552,                0.16275,                 1.4152,                 1.0636,                0.92516,             0.00021682,             0.00021682,             0.00021682
                     22,                 1.3951,                 1.0227,                 0.9275,                0.39041,                0.30125,                0.29182,                0.16703,                 1.4106,                 1.0527,                0.92253,             0.00018386,             0.00018386,             0.00018386
                     23,                  1.384,                 1.0079,                0.92576,                0.38279,                0.30262,                0.29142,                0.16602,                 1.4168,                 1.0531,                0.92303,             0.00015283,             0.00015283,             0.00015283
                     24,                 1.3813,                 1.0013,                0.92225,                0.40607,                0.29644,                0.29374,                0.16944,                 1.4025,                  1.041,                0.92179,             0.00012408,             0.00012408,             0.00012408
                     25,                 1.3752,                0.99367,                0.92252,                   0.41,                0.30211,                0.29756,                0.17102,                 1.4009,                 1.0347,                0.91922,              9.792e-05,              9.792e-05,              9.792e-05
                     26,                 1.3694,                0.98804,                0.92006,                0.39416,                0.30622,                0.29846,                0.17123,                 1.3977,                  1.035,                0.92008,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     27,                 1.3648,                0.98221,                0.91884,                0.40524,                0.30437,                 0.2993,                0.17198,                 1.3946,                 1.0296,                0.91896,             5.4491e-05,             5.4491e-05,             5.4491e-05
                     28,                 1.3588,                0.97584,                0.91665,                0.40628,                0.30571,                0.29993,                0.17252,                  1.392,                 1.0256,                 0.9193,             3.7696e-05,             3.7696e-05,             3.7696e-05
                     29,                  1.353,                0.96662,                0.91687,                0.40667,                0.30315,                0.30073,                0.17254,                 1.3936,                 1.0242,                0.91816,             2.4438e-05,             2.4438e-05,             2.4438e-05
