                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8064,                 2.3715,                 1.0375,                0.28392,                0.16931,                0.12343,                0.06606,                 1.6873,                 1.5349,                 1.0027,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.6601,                 1.5687,                0.99761,                0.21299,                0.21013,                0.16405,                0.09017,                 1.6368,                 1.3767,                0.96788,             0.00042835,             0.00042835,             0.00042835
                      3,                 1.6219,                 1.4506,                0.98698,                0.26349,                0.22316,                 0.1876,                0.10164,                 1.6474,                 1.3656,                0.97087,             0.00057216,             0.00057216,             0.00057216
                      4,                 1.5921,                 1.3704,                0.97829,                0.29308,                0.24492,                0.20828,                0.11476,                 1.5743,                 1.2661,                0.96092,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.5597,                 1.3072,                0.97102,                0.31471,                0.24475,                0.21604,                0.12091,                 1.5581,                 1.2556,                0.95464,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.5367,                 1.2634,                0.96463,                0.34157,                0.25425,                0.23162,                0.12849,                  1.534,                 1.2077,                0.95354,             0.00043126,             0.00043126,             0.00043126
